PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Jose Iglesias,NYM,9,36,3,8,0,0,0,3,2,8,0,0,.222,.263,.222,.485
Jake Cronenworth,SD,7,22,2,3,0,1,0,0,2,9,0,0,.136,.240,.227,.467
Will Smith,LAD,7,23,4,2,0,0,1,2,5,5,1,0,.087,.250,.217,.467
Andrés Giménez,CLE,6,21,3,4,1,0,0,0,0,9,1,0,.190,.227,.238,.465
Jeremy Peña,HOU,2,6,1,1,0,0,0,0,1,3,0,0,.167,.286,.167,.453
Luis Arraez,SD,7,31,4,7,0,0,0,0,0,1,0,0,.226,.226,.226,.452
MJ Melendez,KC,6,20,1,3,0,0,1,2,0,3,0,0,.150,.150,.300,.450
Tyrone Taylor,NYM,9,28,4,4,2,0,0,1,2,8,0,0,.143,.226,.214,.440
Willy Adames,MIL,3,11,1,2,0,0,0,0,1,3,1,0,.182,.250,.182,.432
Matt Vierling,DET,7,28,1,4,1,0,0,2,4,14,0,0,.143,.242,.179,.421
Bobby Witt Jr.,KC,6,26,1,5,0,0,0,2,1,6,0,1,.192,.222,.192,.414
Jazz Chisholm Jr.,NYY,5,19,2,2,0,0,1,1,1,5,1,0,.105,.150,.263,.413
Vinnie Pasquantino,KC,6,23,0,3,1,0,0,2,3,9,0,0,.130,.231,.174,.405
Josh Naylor,CLE,6,24,1,4,1,0,0,1,0,6,0,0,.167,.167,.208,.375
Francisco Alvarez,NYM,9,32,1,5,0,0,0,1,1,10,0,0,.156,.182,.156,.338
Orlando Arcia,ATL,2,6,1,1,0,0,0,0,0,2,0,0,.167,.167,.167,.334
William Contreras,MIL,3,12,0,2,0,0,0,2,0,3,0,0,.167,.167,.167,.334
J.T. Realmuto,PHI,4,11,1,0,0,0,0,1,3,4,0,0,.000,.313,.000,.313
Colton Cowser,BAL,2,7,0,1,0,0,0,0,0,3,0,0,.143,.143,.143,.286
Trey Sweeney,DET,7,22,2,2,0,0,0,2,3,12,1,0,.091,.192,.091,.283
Austin Wells,NYY,5,20,0,2,0,0,0,2,2,8,0,0,.100,.182,.100,.282
Jose Altuve,HOU,2,7,0,1,0,0,0,1,0,2,0,0,.143,.125,.143,.268
Ozzie Albies,ATL,2,8,0,1,0,0,0,0,0,4,1,0,.125,.125,.125,.250
Matt Olson,ATL,2,8,0,1,0,0,0,0,0,1,0,0,.125,.125,.125,.250
Adley Rutschman,BAL,2,8,0,1,0,0,0,0,0,2,0,0,.125,.125,.125,.250
Anthony Santander,BAL,2,8,0,1,0,0,0,0,0,2,0,0,.125,.125,.125,.250
Gunnar Henderson,BAL,2,7,0,0,0,0,0,0,2,4,0,0,.000,.222,.000,.222
Alec Bohm,PHI,4,13,0,1,0,0,0,0,1,0,0,0,.077,.143,.077,.220
Brandon Marsh,PHI,4,13,0,1,0,0,0,0,0,3,0,0,.077,.077,.077,.154
Kyle Tucker,HOU,2,7,0,0,0,0,0,0,1,2,0,0,.000,.125,.000,.125
Rhys Hoskins,MIL,3,9,0,0,0,0,0,1,0,3,0,0,.000,.100,.000,.100
Ramón Laureano,ATL,2,8,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000
Ryan Mountcastle,BAL,2,7,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000
Joey Ortiz,MIL,3,11,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Gio Urshela,ATL,2,6,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
