iter	Passed	Remaining
0	66	66874
1	132	66179
2	199	66385
3	264	65969
4	328	65448
5	403	66911
6	471	66842
7	533	66179
8	602	66333
9	672	66541
10	734	66030
11	802	66043
12	866	65814
13	928	65396
14	991	65125
15	1055	64891
16	1116	64583
17	1179	64351
18	1246	64353
19	1314	64412
20	1384	64538
21	1448	64374
22	1510	64180
23	1572	63958
24	1639	63957
25	1702	63796
26	1768	63748
27	1832	63604
28	1896	63488
29	1961	63430
30	2025	63314
31	2091	63268
32	2154	63138
33	2222	63152
34	2286	63033
35	2357	63126
36	2423	63069
37	2484	62908
38	2547	62777
39	2607	62591
40	2671	62490
41	2733	62339
42	2796	62231
43	2860	62147
44	2924	62064
45	2987	61955
46	3051	61867
47	3124	61972
48	3186	61851
49	3248	61715
50	3316	61715
51	3390	61805
52	3455	61740
53	3519	61662
54	3581	61530
55	3644	61433
56	3710	61386
57	3774	61308
58	3841	61262
59	3921	61433
60	3986	61364
61	4054	61334
62	4119	61275
63	4185	61216
64	4249	61122
65	4313	61043
66	4382	61028
67	4460	61133
68	4527	61094
69	4593	61026
70	4657	60941
71	4721	60855
72	4786	60780
73	4854	60744
74	4919	60669
75	4992	60694
76	5061	60672
77	5131	60654
78	5197	60596
79	5269	60604
80	5340	60586
81	5428	60776
82	5496	60722
83	5559	60630
84	5624	60547
85	5689	60471
86	5753	60374
87	5817	60293
88	5882	60209
89	5946	60122
90	6012	60055
91	6076	59976
92	6143	59916
93	6206	59822
94	6271	59741
95	6337	59675
96	6405	59634
97	6470	59553
98	6533	59461
99	6597	59379
100	6662	59303
101	6728	59233
102	6798	59207
103	6862	59121
104	6926	59044
105	6991	58964
106	7055	58882
107	7118	58796
108	7182	58711
109	7245	58623
110	7312	58569
111	7387	58568
112	7452	58498
113	7519	58440
114	7584	58364
115	7646	58275
116	7710	58192
117	7774	58107
118	7838	58033
119	7903	57960
120	7966	57871
121	8032	57807
122	8098	57745
123	8173	57743
124	8239	57676
125	8304	57605
126	8394	57701
127	8463	57659
128	8533	57615
129	8600	57560
130	8667	57498
131	8730	57412
132	8793	57324
133	8859	57257
134	8922	57167
135	8994	57143
136	9059	57068
137	9125	57002
138	9191	56935
139	9260	56887
140	9324	56806
141	9402	56811
142	9463	56717
143	9532	56667
144	9598	56600
145	9660	56509
146	9725	56432
147	9797	56401
148	9866	56352
149	9932	56281
150	10002	56238
151	10070	56182
152	10134	56101
153	10198	56028
154	10263	55953
155	10328	55881
156	10396	55823
157	10463	55761
158	10526	55680
159	10590	55599
160	10657	55536
161	10730	55505
162	10793	55423
163	10859	55358
164	10922	55275
165	10986	55198
166	11049	55113
167	11116	55050
168	11179	54970
169	11248	54920
170	11312	54842
171	11385	54810
172	11448	54727
173	11514	54659
174	11585	54616
175	11651	54552
176	11716	54476
177	11777	54385
178	11844	54324
179	11906	54240
180	11973	54177
181	12037	54101
182	12097	54009
183	12161	53931
184	12224	53852
185	12292	53797
186	12359	53734
187	12435	53708
188	12498	53629
189	12559	53541
190	12623	53468
191	12689	53402
192	12751	53320
193	12812	53230
194	12877	53162
195	12941	53086
196	13005	53012
197	13070	52943
198	13135	52871
199	13198	52795
200	13261	52715
201	13325	52641
202	13391	52577
203	13455	52502
204	13523	52445
205	13585	52361
206	13649	52291
207	13712	52212
208	13777	52142
209	13840	52064
210	13905	51997
211	13971	51932
212	14038	51869
213	14111	51831
214	14181	51777
215	14251	51727
216	14320	51672
217	14395	51638
218	14458	51562
219	14521	51486
220	14587	51419
221	14655	51359
222	14731	51328
223	14801	51275
224	14867	51211
225	14930	51133
226	15001	51083
227	15067	51018
228	15136	50961
229	15208	50916
230	15276	50854
231	15354	50827
232	15422	50767
233	15489	50704
234	15554	50634
235	15615	50551
236	15680	50480
237	15746	50413
238	15810	50343
239	15880	50289
240	15945	50218
241	16015	50163
242	16079	50092
243	16149	50036
244	16216	49972
245	16286	49919
246	16357	49868
247	16429	49819
248	16498	49760
249	16572	49718
250	16643	49666
251	16718	49624
252	16791	49577
253	16859	49515
254	16934	49474
255	17007	49427
256	17076	49369
257	17146	49311
258	17212	49244
259	17280	49183
260	17352	49132
261	17418	49064
262	17482	48991
263	17547	48919
264	17611	48846
265	17675	48772
266	17739	48701
267	17816	48662
268	17885	48603
269	17953	48540
270	18020	48475
271	18090	48417
272	18172	48392
273	18241	48333
274	18318	48293
275	18392	48247
276	18463	48191
277	18536	48141
278	18610	48094
279	18691	48063
280	18759	48001
281	18828	47938
282	18899	47883
283	18980	47851
284	19043	47777
285	19112	47715
286	19188	47669
287	19259	47614
288	19336	47571
289	19413	47529
290	19487	47479
291	19566	47442
292	19632	47372
293	19702	47311
294	19778	47268
295	19852	47217
296	19923	47160
297	19999	47113
298	20074	47063
299	20145	47007
300	20226	46971
301	20300	46920
302	20378	46876
303	20447	46813
304	20516	46751
305	20588	46693
306	20655	46625
307	20729	46574
308	20798	46510
309	20868	46449
310	20933	46376
311	21000	46309
312	21074	46255
313	21164	46239
314	21232	46173
315	21310	46127
316	21380	46066
317	21447	45997
318	21530	45962
319	21609	45920
320	21688	45877
321	21763	45824
322	21838	45773
323	21905	45703
324	21975	45641
325	22055	45599
326	22156	45600
327	22225	45535
328	22300	45481
329	22376	45430
330	22445	45365
331	22511	45294
332	22581	45230
333	22649	45164
334	22725	45112
335	22791	45041
336	22863	44980
337	22932	44916
338	23002	44852
