iter	Passed	Remaining
339	23071	44785
340	23140	44719
341	23207	44649
342	23273	44579
343	23353	44533
344	23423	44469
345	23503	44425
346	23568	44352
347	23636	44283
348	23703	44215
349	23772	44148
350	23836	44073
351	23906	44009
352	23976	43944
353	24044	43878
354	24113	43812
355	24179	43740
356	24250	43678
357	24327	43626
358	24393	43554
359	24461	43487
360	24532	43425
361	24601	43358
362	24672	43296
363	24744	43234
364	24808	43160
365	24871	43083
366	24936	43010
367	24998	42932
368	25067	42865
369	25138	42803
370	25210	42742
371	25283	42683
372	25354	42619
373	25420	42548
374	25487	42478
375	25561	42420
376	25631	42356
377	25701	42292
378	25766	42219
379	25830	42144
380	25896	42072
381	25961	42001
382	26020	41918
383	26084	41844
384	26154	41779
385	26220	41707
386	26286	41637
387	26361	41581
388	26426	41507
389	26495	41441
390	26557	41364
391	26626	41297
392	26687	41219
393	26750	41144
394	26817	41074
395	26906	41039
396	26977	40975
397	27047	40911
398	27114	40842
399	27180	40770
400	27249	40704
401	27323	40645
402	27389	40575
403	27454	40501
404	27521	40432
405	27586	40359
406	27651	40287
407	27715	40214
408	27780	40142
409	27845	40070
410	27908	39995
411	27975	39926
412	28045	39861
413	28113	39793
414	28176	39718
415	28240	39645
416	28306	39575
417	28370	39502
418	28437	39432
419	28503	39362
420	28571	39294
421	28644	39233
422	28712	39165
423	28774	39089
424	28846	39027
425	28913	38959
426	28979	38888
427	29051	38825
428	29126	38768
429	29199	38706
430	29269	38640
431	29341	38578
432	29408	38509
433	29479	38445
434	29546	38375
435	29613	38307
436	29683	38242
437	29747	38168
438	29815	38101
439	29877	38025
440	29942	37954
441	30009	37885
442	30081	37822
443	30152	37758
444	30219	37689
445	30289	37623
446	30355	37553
447	30423	37486
448	30492	37419
449	30559	37350
450	30634	37291
451	30699	37220
452	30762	37145
453	30830	37077
454	30895	37006
455	30959	36933
456	31031	36870
457	31096	36799
458	31166	36733
459	31234	36666
460	31302	36599
461	31375	36536
462	31443	36469
463	31509	36398
464	31575	36328
465	31639	36256
466	31706	36187
467	31774	36120
468	31841	36050
469	31913	35987
470	31982	35921
471	32047	35850
472	32117	35784
473	32191	35723
474	32260	35656
475	32339	35600
476	32406	35531
477	32472	35461
478	32539	35392
479	32607	35324
480	32679	35261
481	32744	35190
482	32822	35132
483	32893	35067
484	32963	35002
485	33035	34939
486	33107	34875
487	33173	34804
488	33243	34738
489	33317	34677
490	33390	34614
491	33456	34544
492	33525	34477
493	33597	34414
494	33663	34343
495	33728	34272
496	33797	34205
497	33864	34136
498	33932	34068
499	33999	33999
500	34064	33928
501	34129	33857
502	34204	33796
503	34278	33734
504	34346	33666
505	34414	33598
506	34490	33537
507	34555	33467
508	34618	33394
509	34685	33325
510	34758	33261
511	34826	33194
512	34899	33130
513	34971	33065
514	35042	33001
515	35110	32933
516	35178	32865
517	35248	32798
518	35323	32736
519	35389	32667
520	35457	32598
521	35520	32526
522	35586	32456
523	35656	32390
524	35723	32321
525	35793	32255
526	35863	32188
527	35931	32120
528	36005	32057
529	36073	31989
530	36143	31923
531	36213	31857
532	36293	31799
533	36361	31731
534	36428	31662
535	36514	31609
536	36588	31546
537	36656	31478
538	36721	31407
539	36793	31342
540	36859	31272
541	36927	31204
542	36999	31139
543	37062	31066
544	37129	30997
545	37200	30931
546	37275	30869
547	37344	30802
548	37409	30732
549	37478	30664
550	37551	30600
551	37619	30532
552	37687	30463
553	37751	30392
554	37818	30322
555	37883	30252
556	37960	30191
557	38035	30128
558	38100	30057
559	38163	29985
560	38235	29920
561	38306	29854
562	38373	29785
563	38439	29716
564	38503	29644
565	38573	29577
566	38638	29506
567	38707	29439
568	38771	29367
569	38839	29299
570	38907	29231
571	38974	29162
572	39045	29096
573	39115	29030
574	39180	28959
575	39245	28889
576	39322	28827
577	39386	28756
578	39453	28687
579	39523	28620
580	39597	28556
581	39664	28487
582	39731	28418
583	39796	28347
584	39863	28279
585	39929	28209
586	39995	28139
587	40064	28072
588	40129	28002
589	40192	27930
590	40260	27861
591	40336	27799
592	40407	27733
593	40478	27667
594	40549	27600
595	40616	27531
596	40689	27467
597	40765	27404
598	40835	27337
599	40899	27266
600	40967	27198
601	41038	27131
602	41107	27064
603	41179	26998
604	41253	26934
605	41328	26870
606	41397	26802
607	41468	26735
608	41543	26672
609	41611	26603
610	41682	26537
611	41746	26466
612	41813	26397
613	41878	26327
614	41944	26257
615	42013	26189
616	42079	26120
617	42147	26052
618	42215	25983
619	42294	25922
620	42360	25852
621	42435	25788
622	42504	25720
623	42571	25652
624	42642	25585
625	42710	25517
626	42776	25447
627	42842	25378
628	42911	25310
629	42976	25240
630	43043	25171
631	43116	25105
632	43186	25038
633	43258	24972
634	43327	24905
635	43395	24836
636	43461	24767
637	43529	24698
638	43595	24629
639	43657	24557
640	43723	24487
641	43794	24421
642	43865	24354
643	43931	24285
644	43996	24215
645	44061	24145
646	44125	24074
647	44194	24006
648	44266	23940
649	44328	23869
650	44396	23800
651	44465	23732
652	44530	23663
653	44597	23594
654	44667	23526
655	44737	23460
656	44806	23392
657	44877	23325
658	44941	23254
659	45006	23184
660	45079	23119
661	45147	23050
662	45214	22982
663	45290	22918
664	45358	22849
665	45429	22783
666	45496	22714
667	45563	22645
668	45628	22575
669	45694	22506
670	45768	22440
671	45833	22371
672	45897	22300
673	45966	22233
674	46032	22163
675	46101	22095
676	46170	22028
677	46246	21963
678	46322	21899
679	46389	21830
680	46458	21762
681	46519	21690
682	46582	21620
683	46646	21550
684	46709	21479
685	46801	21422
686	46866	21352
687	46935	21284
688	47002	21216
689	47070	21147
690	47140	21080
691	47205	21010
692	47276	20943
693	47348	20876
694	47412	20806
695	47476	20736
696	47542	20667
697	47607	20598
698	47671	20528
699	47741	20460
700	47807	20391
701	47870	20321
702	47939	20253
703	48006	20184
704	48074	20116
705	48142	20047
706	48207	19978
707	48282	19912
708	48359	19848
709	48423	19778
710	48488	19709
711	48559	19642
712	48628	19574
713	48699	19507
714	48769	19439
715	48837	19371
716	48908	19304
717	48977	19236
718	49049	19169
719	49119	19102
720	49199	19038
721	49271	18971
722	49343	18904
723	49415	18837
724	49479	18768
725	49547	18699
726	49622	18633
727	49697	18568
728	49766	18500
729	49832	18431
730	49894	18360
731	49968	18294
732	50036	18225
733	50100	18156
734	50172	18089
735	50241	18021
736	50310	17953
737	50379	17885
738	50448	17817
739	50514	17748
740	50580	17679
741	50653	17612
742	50720	17543
743	50784	17474
744	50854	17406
745	50925	17339
746	50998	17272
747	51067	17204
748	51140	17137
749	51206	17068
750	51282	17002
751	51351	16934
752	51425	16868
753	51492	16800
754	51586	16740
755	51656	16672
756	51724	16603
757	51791	16534
758	51864	16468
759	51925	16397
760	51991	16328
761	52055	16258
762	52125	16190
763	52192	16122
764	52272	16057
765	52348	15991
766	52420	15924
767	52487	15855
768	52556	15787
769	52626	15719
770	52691	15650
771	52763	15582
772	52827	15513
773	52893	15444
774	52960	15375
775	53031	15308
776	53097	15238
777	53164	15170
778	53232	15102
779	53307	15035
780	53370	14965
781	53440	14897
782	53506	14828
783	53579	14761
784	53652	14694
785	53719	14625
786	53787	14557
787	53854	14488
788	53924	14420
789	53990	14352
790	54060	14283
791	54123	14214
792	54210	14150
793	54294	14086
794	54363	14018
795	54429	13949
796	54496	13880
797	54560	13811
798	54627	13742
799	54695	13673
800	54762	13605
801	54826	13535
802	54895	13467
803	54963	13399
804	55031	13330
805	55101	13262
806	55166	13193
807	55235	13125
808	55308	13057
809	55369	12987
810	55442	12920
811	55519	12854
812	55597	12788
813	55674	12721
814	55747	12654
815	55818	12586
816	55887	12518
817	55968	12452
818	56043	12385
819	56116	12318
820	56189	12250
821	56268	12184
822	56337	12116
823	56410	12048
824	56479	11980
825	56553	11913
826	56627	11845
827	56701	11778
828	56775	11711
829	56846	11643
830	56915	11574
831	56986	11506
832	57048	11437
833	57116	11368
834	57181	11299
835	57257	11232
836	57332	11165
837	57399	11096
838	57473	11028
839	57544	10960
840	57610	10891
841	57680	10823
842	57746	10754
843	57816	10686
844	57881	10617
845	57952	10549
846	58024	10481
847	58090	10412
848	58159	10343
849	58233	10276
850	58303	10208
851	58378	10140
852	58445	10072
853	58513	10003
854	58583	9935
855	58645	9865
856	58707	9796
857	58779	9728
858	58848	9659
859	58918	9591
860	58983	9522
861	59052	9453
862	59122	9385
863	59191	9317
864	59270	9250
865	59336	9181
866	59399	9112
867	59472	9044
868	59539	8975
869	59608	8906
870	59674	8838
871	59743	8769
872	59821	8702
873	59889	8633
874	59958	8565
875	60025	8496
876	60088	8427
877	60152	8358
878	60221	8289
879	60295	8222
880	60358	8152
881	60431	8084
882	60507	8017
883	60570	7948
884	60645	7880
885	60708	7811
886	60778	7742
887	60845	7674
888	60910	7605
889	60974	7536
890	61046	7468
891	61115	7399
892	61183	7331
893	61264	7263
894	61336	7195
895	61401	7127
896	61473	7058
897	61538	6989
898	61604	6921
899	61675	6852
900	61743	6784
901	61810	6715
902	61877	6646
903	61941	6577
904	62011	6509
905	62080	6441
906	62148	6372
907	62222	6304
908	62290	6235
909	62357	6167
910	62423	6098
911	62490	6029
912	62558	5961
913	62627	5892
914	62692	5823
915	62759	5755
916	62827	5686
917	62901	5618
918	62974	5550
919	63042	5481
920	63112	5413
921	63183	5345
922	63268	5278
923	63331	5209
924	63402	5140
925	63468	5072
926	63541	5003
927	63606	4934
928	63675	4866
929	63740	4797
930	63806	4728
931	63875	4660
932	63948	4592
933	64019	4523
934	64088	4455
935	64150	4386
936	64219	4317
937	64283	4248
938	64346	4180
939	64415	4111
940	64490	4043
941	64558	3974
942	64627	3906
943	64693	3837
944	64758	3769
945	64831	3700
946	64898	3632
947	64972	3563
948	65044	3495
949	65113	3427
950	65179	3358
951	65264	3290
952	65331	3222
953	65401	3153
954	65466	3084
955	65536	3016
956	65602	2947
957	65669	2879
958	65736	2810
959	65803	2741
960	65873	2673
961	65941	2604
962	66016	2536
963	66089	2468
964	66167	2399
965	66244	2331
966	66311	2262
967	66376	2194
968	66457	2126
969	66534	2057
970	66605	1989
971	66666	1920
972	66729	1851
973	66797	1783
974	66861	1714
975	66931	1645
976	66998	1577
977	67063	1508
978	67134	1440
979	67208	1371
980	67279	1303
981	67348	1234
982	67420	1165
983	67491	1097
984	67559	1028
985	67625	960
986	67694	891
987	67763	823
988	67831	754
989	67895	685
990	67971	617
991	68044	548
992	68113	480
993	68191	411
994	68270	343
995	68342	274
996	68406	205
997	68481	137
998	68548	68
999	68612	0
