iter	RMSE
353	59.80391094
354	59.78105018
355	59.77079634
356	59.75029151
357	59.72775577
358	59.7142602
359	59.68465145
360	59.66018855
361	59.63272699
362	59.60909553
363	59.58010191
364	59.56485054
365	59.54390512
366	59.52511057
367	59.49178261
368	59.46469828
369	59.44748109
370	59.42768954
371	59.39958995
372	59.37890059
373	59.36303185
374	59.33671491
375	59.32146417
376	59.30754254
377	59.28096255
378	59.26150697
379	59.23205748
380	59.21389518
381	59.18825203
382	59.16579699
383	59.15051595
384	59.12847965
385	59.10714081
386	59.08982687
387	59.07125772
388	59.05447949
389	59.03373195
390	59.01474351
391	58.98828054
392	58.96015572
393	58.95114913
394	58.93666589
395	58.92013073
396	58.89779601
397	58.8764417
398	58.85475819
399	58.83446885
400	58.81653657
401	58.79767671
402	58.77639157
403	58.76526214
404	58.74942318
405	58.73419451
406	58.71298822
407	58.67855516
408	58.66166698
409	58.64932824
410	58.63473256
411	58.61678847
412	58.59804653
413	58.57910911
414	58.56672336
415	58.55111095
416	58.53800218
417	58.51314224
418	58.48974005
419	58.46539181
420	58.43302197
421	58.40126802
422	58.37461664
423	58.35798161
424	58.3321563
425	58.31542848
426	58.29715581
427	58.28929813
428	58.26529958
429	58.24580853
430	58.22110728
431	58.20228521
432	58.18905848
433	58.16735998
434	58.14491101
435	58.13045343
436	58.12145923
437	58.10556135
438	58.08612554
439	58.07120759
440	58.04793828
441	58.02873469
442	58.01508638
443	57.99024656
444	57.97227783
445	57.95454347
446	57.93992669
447	57.92577872
448	57.90932416
449	57.87290934
450	57.84375478
451	57.81609598
452	57.80084664
453	57.78958635
454	57.76981215
455	57.75451721
456	57.72388544
457	57.70126003
458	57.69248638
459	57.681842
460	57.66862335
461	57.65013039
462	57.62058135
463	57.60105931
464	57.58448299
465	57.5650624
466	57.54300978
467	57.52961277
468	57.51911997
469	57.4996586
470	57.47160147
471	57.45622232
472	57.44342831
473	57.41862088
474	57.40269915
475	57.38966723
476	57.38146266
477	57.37189647
478	57.34669903
479	57.33536989
480	57.31361414
481	57.29150725
482	57.27643711
483	57.25012727
484	57.23280844
485	57.21664727
486	57.20303268
487	57.19534211
488	57.16235519
489	57.14630593
490	57.12170911
491	57.09615627
492	57.07943068
493	57.06103483
494	57.05173269
495	57.02752829
496	57.01559811
497	57.00657787
498	56.98268588
499	56.97125962
